,Exidelw,Exideuw,Call
225,254.47142857142856,249.66029411764708,Buy
226,254.9309523809524,250.31176470588235,Buy
227,255.62380952380954,250.95000000000005,Buy
228,256.1547619047619,251.6102941176471,Buy
229,256.5,252.04852941176475,Buy
230,256.82142857142856,252.39411764705886,Buy
231,256.3738095238095,252.70588235294122,Buy
232,255.88571428571427,253.129411764706,Buy
233,255.6404761904762,253.48970588235304,Buy
234,255.58333333333334,253.94705882352955,Buy
235,255.1642857142857,254.1764705882354,Buy
236,254.86904761904762,254.49264705882365,Buy
237,254.71428571428572,254.76911764705898,Sell
238,254.54761904761904,255.01323529411783,Sell
239,254.2,255.09705882352955,Sell
240,254.09285714285713,255.20588235294133,Sell
241,254.20238095238096,255.2205882352943,Sell
242,254.45238095238096,255.38235294117663,Sell
243,254.6142857142857,255.48235294117663,Sell
244,254.99047619047616,255.15735294117664,Sell
245,254.65238095238095,254.66764705882366,Sell
246,254.20238095238096,254.38823529411778,Sell
247,253.73095238095235,254.04411764705898,Sell
248,253.05238095238093,253.6661764705884,Sell
249,252.98571428571427,253.6529411764707,Sell
250,253.0833333333333,253.66617647058834,Sell
251,253.41666666666663,253.87647058823538,Sell
252,253.86666666666665,253.9941176470589,Sell
253,254.03809523809525,254.1867647058824,Sell
254,254.34761904761905,254.65882352941182,Sell
255,254.80714285714288,255.23970588235298,Sell
256,255.7785714285715,255.95882352941177,Sell
257,256.5404761904762,256.7,Sell
258,257.1571428571429,256.95735294117645,Buy
259,257.7880952380953,257.06176470588235,Buy
260,258.3309523809524,257.19705882352946,Buy
261,259.05952380952385,257.3279411764706,Buy
262,259.7357142857143,257.4323529411764,Buy
263,260.1309523809524,257.62499999999994,Buy
264,260.7904761904762,257.9338235294117,Buy
265,261.68095238095236,258.43529411764706,Buy
266,262.6142857142857,258.82352941176464,Buy
267,263.6452380952381,259.33235294117645,Buy
268,264.8452380952381,259.76470588235287,Buy
269,266.0309523809524,260.37794117647053,Buy
270,266.84285714285716,261.0485294117647,Buy
271,267.90714285714284,261.8147058823529,Buy
272,268.30238095238093,262.37205882352936,Buy
273,268.7333333333333,262.9705882352941,Buy
274,269.31190476190466,263.58676470588233,Buy
275,270.00714285714275,264.4205882352941,Buy
276,270.8309523809522,265.35588235294114,Buy
277,271.45952380952366,266.3632352941176,Buy
278,272.1571428571427,267.30294117647054,Buy
279,273.3333333333332,268.4955882352941,Buy
280,274.48571428571415,269.5897058823529,Buy
281,275.89761904761895,270.88823529411764,Buy
282,276.9880952380951,272.1117647058823,Buy
283,278.292857142857,273.06323529411765,Buy
284,279.88095238095224,274.1764705882353,Buy
285,281.30476190476173,275.15882352941173,Buy
286,282.79523809523795,276.30294117647054,Buy
287,283.8666666666665,277.2470588235294,Buy
288,284.7619047619046,278.11764705882354,Buy
289,285.5666666666665,278.76323529411764,Buy
290,286.3571428571427,279.2647058823529,Buy
291,286.79047619047606,279.7323529411765,Buy
292,287.04523809523795,280.2750000000001,Buy
293,287.63095238095224,280.80441176470595,Buy
294,287.7690476190475,281.1529411764706,Buy
295,287.8499999999999,281.36911764705883,Buy
296,287.7214285714285,281.7058823529412,Buy
297,287.4214285714285,282.21176470588244,Buy
298,286.6666666666666,282.34558823529414,Buy
299,285.92619047619036,282.2779411764706,Buy
300,284.89523809523797,282.2573529411765,Buy
301,284.1499999999999,282.25441176470594,Buy
302,283.1404761904761,282.1882352941177,Buy
303,282.1238095238094,282.05147058823536,Buy
304,280.95238095238085,281.7779411764706,Sell
305,279.6571428571428,281.43382352941177,Sell
306,278.2309523809523,281.2911764705882,Sell
307,276.14047619047614,280.8779411764706,Sell
308,275.22142857142853,280.8970588235294,Sell
309,273.98571428571427,280.57500000000005,Sell
310,272.8142857142857,279.9882352941177,Sell
311,271.51666666666665,279.30000000000007,Sell
312,270.3071428571428,278.589705882353,Sell
313,268.74523809523805,277.44117647058823,Sell
314,267.1119047619047,276.25,Sell
315,265.9214285714285,274.9911764705882,Sell
316,264.3880952380952,273.58676470588233,Sell
317,263.5309523809524,272.5882352941176,Sell
318,262.20714285714286,271.2955882352941,Sell
319,261.5357142857143,270.135294117647,Sell
320,261.3285714285715,269.01911764705875,Sell
321,261.09047619047624,268.1897058823529,Sell
322,260.5785714285715,267.3176470588235,Sell
323,259.79285714285714,266.2691176470588,Sell
324,259.1166666666667,265.22647058823526,Sell
325,258.3404761904762,264.2058823529411,Sell
326,257.65238095238095,263.27941176470586,Sell
327,257.16190476190474,262.4720588235293,Sell
328,256.8952380952381,261.8088235294117,Sell
329,255.94999999999996,261.19411764705876,Sell
330,255.71190476190472,260.80441176470583,Sell
331,255.74047619047616,260.420588235294,Sell
332,255.34761904761902,259.9558823529411,Sell
333,255.08571428571426,259.5411764705882,Sell
334,254.94999999999996,258.94558823529405,Sell
335,255.16190476190474,258.3455882352941,Sell
336,255.4690476190476,257.9,Sell
337,256.1380952380952,257.5367647058823,Sell
338,255.9690476190476,257.15735294117644,Sell
339,255.88571428571427,256.6132352941176,Sell
340,255.65476190476187,256.19117647058823,Sell
341,254.96428571428567,255.9397058823529,Sell
342,254.09047619047618,255.1382352941176,Sell
343,253.17857142857142,254.46617647058818,Sell
344,252.4404761904762,253.68529411764698,Sell
345,252.25476190476192,253.3294117647058,Sell
346,252.30238095238096,253.08529411764698,Sell
347,252.3095238095238,253.12794117647056,Sell
348,252.47857142857143,253.4338235294117,Sell
349,252.83809523809526,253.72794117647052,Sell
350,253.01904761904765,254.1720588235293,Sell
351,253.08333333333337,254.35147058823514,Sell
352,252.81190476190483,254.61764705882342,Sell
353,252.95000000000005,254.6529411764705,Sell
354,252.95952380952383,254.37205882352936,Sell
355,253.0476190476191,253.9779411764705,Sell
356,252.88095238095244,253.59117647058815,Sell
357,252.42142857142863,253.34705882352932,Sell
358,252.15476190476195,253.23676470588228,Sell
359,252.54047619047626,253.57499999999993,Sell
360,252.85476190476194,253.6499999999999,Sell
361,253.15000000000003,253.71323529411754,Sell
362,253.60000000000002,253.90441176470577,Sell
363,254.18571428571425,254.04852941176458,Buy
364,255.44047619047615,254.29852941176458,Buy
365,256.947619047619,254.43088235294107,Buy
366,257.5547619047619,254.6926470588234,Buy
367,257.8714285714285,254.80588235294107,Buy
368,258.2547619047619,255.16911764705867,Buy
369,258.69047619047615,255.6132352941175,Buy
370,258.9833333333333,255.89852941176457,Buy
371,259.47857142857134,256.23529411764696,Buy
372,259.70238095238085,256.6573529411764,Buy
373,259.7523809523808,257.0058823529411,Buy
374,259.7523809523808,257.18382352941165,Buy
375,259.99047619047604,257.4764705882352,Buy
376,260.51666666666654,257.94705882352935,Buy
377,261.0809523809522,258.4720588235293,Buy
378,261.73571428571415,259.08823529411757,Buy
379,262.2285714285713,259.39705882352933,Buy
380,262.1595238095237,259.66323529411756,Buy
381,261.94999999999993,259.6044117647058,Buy
382,261.947619047619,259.5617647058823,Buy
383,261.6809523809523,259.3661764705882,Buy
384,261.29523809523806,259.160294117647,Buy
385,260.1928571428571,258.6897058823529,Buy
386,258.93095238095236,258.210294117647,Buy
387,258.0309523809524,257.8308823529411,Buy
388,257.25476190476195,257.45882352941175,Sell
389,255.89285714285714,256.9264705882353,Sell
390,254.08095238095237,256.35441176470584,Sell
391,251.93571428571425,255.59852941176467,Sell
392,249.5261904761905,254.61176470588234,Sell
393,247.38809523809527,253.475,Sell
394,245.7452380952381,252.61470588235292,Sell
395,244.29523809523812,251.71470588235292,Sell
396,242.65476190476195,250.71617647058818,Sell
397,240.6452380952381,249.58382352941172,Sell
398,238.62380952380954,248.08529411764698,Sell
399,236.64285714285714,246.54705882352937,Sell
400,234.26190476190476,245.01029411764702,Sell
401,231.82619047619045,243.57647058823525,Sell
402,229.79285714285712,242.02499999999995,Sell
403,227.34761904761902,240.20294117647055,Sell
404,225.2547619047619,238.53382352941173,Sell
405,223.1523809523809,236.7235294117647,Sell
406,221.19047619047615,234.90294117647056,Sell
407,219.32857142857137,233.2426470588235,Sell
408,217.50952380952373,231.7397058823529,Sell
409,216.24047619047607,230.4367647058823,Sell
410,215.3047619047618,229.00147058823524,Sell
411,214.69523809523804,227.70441176470584,Sell
